Title,Year,Publisher,Genre,Console
Exo Squad,1995,"Virgin Interactive Entertainment (Europe) Ltd., Playmates Interactive Entertainment, Inc.",Action,Sega Genesis
F-117 Night Storm,1993,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Simulation,Sega Genesis
F-15 Strike Eagle II,1993,"MicroProse Software, Inc.",Simulation,Sega Genesis
F1 Circus '91,1991,"Nihon Bussan Co., Ltd.",Racing / driving,Sega Genesis
F1 Triple Battle,1991,"Human Entertainment, Inc.",Racing / driving,Sega Genesis
F1: World Championship Edition,1995,Domark Software Ltd.,"Racing / driving, Sports",Sega Genesis
F-22 Interceptor,1991,"Electronic Arts, Inc., Electronic Arts Ltd., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Simulation,Sega Genesis
The Faery Tale Adventure: Book I,1991,"Electronic Arts, Inc.",Role-Playing (RPG),Sega Genesis
Family Feud,1993,"GameTek, Inc.",Puzzle,Sega Genesis
Fantasia,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
The Fantastic Adventures of Dizzy,1993,"Codemasters Software Company Limited, The",Action,Sega Genesis
Fatal Fury,1993,"SEGA Enterprises Ltd., TAKARA U.S.A. CORP., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Fatal Fury 2,1994,"TAKARA Co., Ltd., TAKARA U.S.A. CORP.",Action,Sega Genesis
Fatal Labyrinth,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.",Role-Playing (RPG),Sega Genesis
Férias Frustradas do Pica-Pau,1996,Tec Toy Indústria de Brinquedos S.A.,Action,Sega Genesis
Ferrari Grand Prix Challenge,1992,"Flying Edge, Inc., Varie Corporation","Racing / driving, Simulation",Sega Genesis
FIFA International Soccer,1993,"Electronic Arts, Inc., Electronic Arts Ltd., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
FIFA: Road to World Cup 98,1997,"Electronic Arts, Inc.",Sports,Sega Genesis
FIFA Soccer 95,1994,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
FIFA Soccer 96,1995,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Simulation, Sports",Sega Genesis
FIFA Soccer 97,1996,"Electronic Arts, Inc.",Sports,Sega Genesis
Fighting Masters,1991,"American Treco Corporation, Treco",Action,Sega Genesis
Final Blow,1990,"SEGA of America, Inc., Taito Corporation","Action, Sports",Sega Genesis
Final Zone,1990,"Renovation Products, Inc., Tec Toy Indústria de Brinquedos S.A., Wolf Team",Action,Sega Genesis
Fire Mustang,1991,Taito Corporation,Action,Sega Genesis
Firepower 2000,1994,Time Warner Interactive Inc.,Action,Sega Genesis
Fire Shark,1990,"DreamWorks, Toaplan Co., Ltd.",Action,Sega Genesis
Flashback: The Quest for Identity,1993,"Sun Electronics Corp., Tec Toy Indústria de Brinquedos S.A., U.S. Gold Ltd.",Action,Sega Genesis
Flicky,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Flink,1994,Psygnosis Limited,Action,Sega Genesis
The Flintstones,1993,"SEGA Enterprises Ltd., Taito Corporation",Action,Sega Genesis
Foreman for Real,1995,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Sports,Sega Genesis
Forgotten Worlds,1989,"SEGA Europe Ltd., SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Formula One,1993,"Domark Software, Inc., Domark Software Ltd., Tengen Inc.","Racing / driving, Simulation",Sega Genesis
Frank Thomas Big Hurt Baseball,1995,"Acclaim Entertainment, Inc.","Simulation, Sports",Sega Genesis
Frog Feast,2006,Chaos89.com,Action,Sega Genesis
Frogger,1998,"Majesco Sales, Inc.",Action,Sega Genesis
Fun 'N Games,1993,"Tradewest, Inc.",Action,Sega Genesis
Funny World & Balloon Boy,1993,Realtec Corporation,"Action, Compilation",Sega Genesis
Fushigi no Umi no Nadia,1991,Namco Limited,Adventure,Sega Genesis
FX·Unit Yuki,2019,JoshProd,Action,Sega Genesis
Gadget Twins,1992,"GameTek, Inc.",Action,Sega Genesis
Gaiares,1990,"Renovation Products, Inc., Telenet Japan Co., Ltd.",Action,Sega Genesis
Gain Ground,1991,"Renovation Products, Inc., SEGA Enterprises Ltd.","Action, Strategy / tactics",Sega Genesis
Galaxy Force II,1991,"CSK Research Institute Corp., SEGA of America, Inc.",Action,Sega Genesis
Gambler Jiko Ch?shinha: Katayama Masayuki no Mahjong D?j?,1990,"Game Arts Co., Ltd.",Strategy / tactics,Sega Genesis
Game no Kanzume: Otokuy?,1995,SEGA Enterprises Ltd.,Compilation,Sega Genesis
The Games: Winter Challenge,1991,"Accolade Europe Ltd., Ballistic","Action, Sports",Sega Genesis
Garfield: Caught in the Act,1995,"SEGA of America, Inc.",Action,Sega Genesis
Garfield: The Lost Levels,1996,"SEGA of America, Inc.",Action,Sega Genesis
Gargoyles,1995,Buena Vista Interactive,Action,Sega Genesis
Garry Kitchen's Super Battletank: War in the Gulf,1992,"Absolute Entertainment, Inc.","Action, Simulation",Sega Genesis
Gauntlet IV,1993,"Tengen Inc., Tengen Ltd.",Action,Sega Genesis
Gemfire,1992,"KOEI Co., Ltd., KOEI Corporation",Strategy / tactics,Sega Genesis
General Chaos,1993,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.","Action, Strategy / tactics",Sega Genesis
Generals of the Yang Family,1990,"JoshProd, Taiwan Information Corporation",Action,Sega Genesis
Generations Lost,1994,Time Warner Interactive Inc.,Action,Sega Genesis
Genghis Khan II: Clan of the Gray Wolf,1993,"KOEI Co., Ltd., KOEI Corporation",Strategy / tactics,Sega Genesis
George Foreman's KO Boxing,1992,"Flying Edge, Inc.",Sports,Sega Genesis
Ghostbusters,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Ghouls 'N Ghosts,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Gleylancer,1992,"Masaya, Samsung Electronics Co., Ltd.",Action,Sega Genesis
G-Loc: Air Battle,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Gods,1992,"Accolade Europe Ltd., Mindscape, Inc., PCM Complete",Action,Sega Genesis
Golden Axe,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Golden Axe II,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Golden Axe III,1993,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Go Net,1992,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Goofy's Hysterical History Tour,1993,"Absolute Entertainment, Inc.",Action,Sega Genesis
Granada,1990,"Renovation Products, Inc., Tec Toy Indústria de Brinquedos S.A., Wolf Team",Action,Sega Genesis
The Great Circus Mystery starring Mickey & Minnie,1994,"Capcom Co., Ltd., Capcom U.S.A., Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Greatest Heavyweights,1993,"SEGA Enterprises Ltd., SEGA of America, Inc.",Sports,Sega Genesis
The Great Waldo Search,1992,THQ Inc.,"Action, Puzzle",Sega Genesis
Greendog: The Beached Surfer Dude!,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Grind Stormer,1994,"Tengen Inc., Tengen Ltd.",Action,Sega Genesis
Growl,1991,"Taito America Corporation, Taito Corporation",Action,Sega Genesis
Gunship,1993,U.S. Gold Ltd.,"Action, Simulation",Sega Genesis
Gunstar Heroes,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
HardBall!,1991,Ballistic,Sports,Sega Genesis
HardBall 4,1994,"Accolade, Inc.",Sports,Sega Genesis
HardBall 5,1995,"Accolade, Inc.","Simulation, Sports",Sega Genesis
HardBall III,1993,"Accolade, Inc.",Sports,Sega Genesis
Hard Drivin',1990,"Tec Toy Indústria de Brinquedos S.A., Tengen Inc., Tengen Ltd.",Racing / driving,Sega Genesis
Harukanaru Augusta,1993,"T&E Soft, Inc.",Sports,Sega Genesis
Haunting Starring Polterguy,1993,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Simulation,Sega Genesis
Head-On Soccer,1995,"Tec Toy Indústria de Brinquedos S.A., U.S. Gold, Inc., U.S. Gold Ltd.",Sports,Sega Genesis
Heavy Nova,1992,Micronet Co. Ltd.,Action,Sega Genesis
Heavy Unit,1990,"Toho Co., Ltd.",Action,Sega Genesis
Hellfire,1990,"Masaya, Seismic Software Inc.",Action,Sega Genesis
Herzog Zwei,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Technosoft Co., Ltd.",Strategy / tactics,Sega Genesis
High Seas Havoc,1993,"Data East Corporation, Data East USA, Inc.",Action,Sega Genesis
Hit the Ice: The Video Hockey League,1992,Taito America Corporation,"Action, Sports",Sega Genesis
Home Alone,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Home Alone 2: Lost in New York,1993,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Hon? no T?ky?ji: Dodge Danpei,1992,SEGA Enterprises Ltd.,"Action, Sports",Sega Genesis
Hook,1992,Sony Imagesoft,Action,Sega Genesis
The Humans,1992,"GameTek, Inc.","Action, Puzzle",Sega Genesis
Hurricanes,1994,U.S. Gold Ltd.,Action,Sega Genesis
The Hybrid Front,1994,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Hyokkori Hy?tanjima: Dait?ry? o Mezase!,1992,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Hyper Marbles,1991,SEGA Enterprises Ltd.,Action,Sega Genesis
Ikasuze! Koi no Doki Doki Penguin Land MD,1992,SEGA Enterprises Ltd.,Action,Sega Genesis
IMG International Tour Tennis,1994,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
The Immortal,1991,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
The Incredible Crash Dummies,1993,"LJN, Ltd.",Action,Sega Genesis
The Incredible Hulk,1994,"Tec Toy Indústria de Brinquedos S.A., U.S. Gold, Inc., U.S. Gold Ltd.",Action,Sega Genesis
Indiana Jones and the Last Crusade: The Action Game,1992,U.S. Gold Ltd.,Action,Sega Genesis
Insector X,1990,"Hot-B Co., Ltd., Sage's Creation, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Instruments of Chaos Starring Young Indiana Jones,1994,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
International Rugby,1993,Domark Software Ltd.,Sports,Sega Genesis
International Superstar Soccer Deluxe,1996,"Konami Deutschland GmbH, Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Ishid?: The Way of Stones,1990,"Accolade, Inc.",Strategy / tactics,Sega Genesis
Ivan 'Ironman' Stewart's Super Off Road,1994,Ballistic,Racing / driving,Sega Genesis
Izzy's Quest for the Olympic Rings,1995,U.S. Gold Ltd.,Action,Sega Genesis
Jack Nicklaus' Power Challenge Golf,1993,"Accolade, Inc.",Sports,Sega Genesis
James Bond 007: The Duel,1993,"Domark Software, Inc., Domark Software Ltd., Tec Toy Indústria de Brinquedos S.A., Tengen Ltd.",Action,Sega Genesis
James Pond 2: Codename: RoboCod,1991,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
James Pond 3: Operation Starfish,1993,"Electronic Arts, Inc., Electronic Arts Ltd.",Action,Sega Genesis
James Pond: Underwater Agent,1991,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Jammit,1994,"Virgin Interactive Entertainment, Inc.",Sports,Sega Genesis
Jan? T?ry?mon,1993,SEGA Enterprises Ltd.,Strategy / tactics,Sega Genesis
Jantei Monogatari,1991,Renovation Game,Strategy / tactics,Sega Genesis
Jennifer Capriati Tennis,1992,"Renovation Products, Inc.",Sports,Sega Genesis
Jeopardy!,1992,"GameTek, Inc.",Puzzle,Sega Genesis
Jeopardy! Deluxe Edition,1993,"GameTek, Inc.",Puzzle,Sega Genesis
Jeopardy! Sports Edition,1994,"GameTek, Inc.",Puzzle,Sega Genesis
Jewel Master,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Jimmy White's 'Whirlwind' Snooker,1994,Virgin Interactive Entertainment (Europe) Ltd.,Sports,Sega Genesis
J.League Champion Soccer,1993,"Game Arts Co., Ltd.","Simulation, Sports",Sega Genesis
Joe & Mac: Caveman Ninja,1994,"TAKARA Co., Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Joe Montana Football,1990,"SEGA Enterprises Ltd., SEGA of America, Inc.","Action, Sports",Sega Genesis
Joe Montana II: Sports Talk Football,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
John Madden Football,1990,"Electronic Arts, Inc.",Sports,Sega Genesis
John Madden Football '92,1991,"Electronic Arts, Inc.",Sports,Sega Genesis
John Madden Football '93,1992,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
John Madden Football '93: Championship Edition,1992,"Electronic Arts, Inc.",Sports,Sega Genesis
Jordan vs Bird: One on One,1992,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Joshua & the Battle of Jericho,1994,"Wisdom Tree, Inc.","Action, Educational",Sega Genesis
Judge Dredd,1995,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Junction,1990,Micronet Co. Ltd.,Puzzle,Sega Genesis
Jungle Strike,1993,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Jurassic Park,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Jurassic Park: Rampage Edition,1994,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Justice League: Task Force,1995,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Kageki,1991,"Hot-B Co., Ltd., Sage's Creation, Inc.",Action,Sega Genesis
Kawasaki Superbike Challenge,1995,Time Warner Interactive Inc.,Racing / driving,Sega Genesis
Kick Off 3: European Challenge,1994,Vic Tokai Europe Ltd.,Sports,Sega Genesis
Kid Chameleon,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Kid? Keisatsu Patlabor: 98-Shiki Kid? seyo!,1992,MA-BA Corp,Role-Playing (RPG),Sega Genesis
The Killing Game Show,1991,"Electronic Arts, Inc., Electronic Arts Victor, Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
King of the Monsters,1993,"SEGA Enterprises Ltd., TAKARA U.S.A. CORP.",Action,Sega Genesis
King of the Monsters 2,1994,TAKARA U.S.A. CORP.,Action,Sega Genesis
King Salmon: The Big Catch,1992,"Hot-B Co., Ltd., Vic Tokai, Inc.","Simulation, Sports",Sega Genesis
King's Bounty,1991,"Electronic Arts, Inc.",Strategy / tactics,Sega Genesis
Kishi Densetsu,1993,Kodansha Ltd.,Simulation,Sega Genesis
Kiss Shot,1992,SEGA Enterprises Ltd.,Sports,Sega Genesis
Klax,1990,"Namco Limited, Tec Toy Indústria de Brinquedos S.A., Tengen Inc.",Puzzle,Sega Genesis
Krusty's Super Fun House,1992,"Flying Edge, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Ky?kai D?ch?ki,1991,Namco Limited,Sports,Sega Genesis
l'Abbaye des Morts,2017,PlayOnRetro,Action,Sega Genesis
Lakers versus Celtics and the NBA Playoffs,1990,"Electronic Arts, Inc.",Sports,Sega Genesis
Landstalker: Treasure of King Nole,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Langrisser II,1994,Masaya,"Role-Playing (RPG), Strategy / tactics",Sega Genesis
La Russa Baseball 95,1994,"Electronic Arts, Inc.",Sports,Sega Genesis
Last Action Hero,1993,Sony Imagesoft,"Action, Racing / driving",Sega Genesis
Last Battle,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
The Lawnmower Man,1994,Time Warner Interactive Inc.,Action,Sega Genesis
Leander,1992,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Legend of Wukong,2008,Super Fighter Team,Role-Playing (RPG),Sega Genesis
Lemmings,1992,"SEGA Enterprises Ltd., Sun Electronics Corp., Sun Corporation of America",Puzzle,Sega Genesis
Lemmings 2: The Tribes,1994,Psygnosis Limited,Puzzle,Sega Genesis
Lethal Enforcers,1993,"Konami Co., Ltd., Konami (America), Inc.",Action,Sega Genesis
Lethal Enforcers II: Gun Fighters,1994,"Konami (America), Inc.",Action,Sega Genesis
LHX: Attack Chopper,1992,"Electronic Arts, Inc., Electronic Arts Victor","Action, Simulation",Sega Genesis
Liberty or Death,1994,KOEI Corporation,Strategy / tactics,Sega Genesis
Light Crusader,1995,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Lightening Force: Quest for the Darkstar,1992,"SEGA of America, Inc., Technosoft Co., Ltd.",Action,Sega Genesis
The Lion King,1994,"Virgin Interactive Entertainment (Europe) Ltd., Virgin Interactive Entertainment, Inc., Virgin Interactive Entertainment (Japan), Inc.",Action,Sega Genesis
Lord Monarch,1994,SEGA Corporation,Strategy / tactics,Sega Genesis
The Lost Vikings,1993,"Ballistic, Interplay Productions, Inc.","Action, Puzzle",Sega Genesis
The Lost World: Jurassic Park,1997,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Lotus: The Ultimate Challenge,1993,"Electronic Arts, Inc.",Racing / driving,Sega Genesis
Lotus Turbo Challenge 2,1992,"Electronic Arts, Inc.",Racing / driving,Sega Genesis
M6,1995,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Madden NFL '94,1993,"Electronic Arts, Inc., Electronic Arts Ltd.",Sports,Sega Genesis
Madden NFL 95,1994,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Madden NFL 96,1995,"Electronic Arts, Inc.",Sports,Sega Genesis
Madden NFL 97,1996,"Electronic Arts, Inc.",Sports,Sega Genesis
Madden NFL 98,1997,"Electronic Arts, Inc.",Sports,Sega Genesis
Mad? Monogatari I,1996,Compile,Role-Playing (RPG),Sega Genesis
Magical Hat no Buttobi Turbo! Daib?ken,1990,SEGA Enterprises Ltd.,Action,Sega Genesis
Magical Tarur?to-kun,1992,SEGA Enterprises Ltd.,Action,Sega Genesis
Magic Girl Featuring Ling Ling the Little Witch,2015,Super Fighter Team,Action,Sega Genesis
Magic Pockets,2018,JoshProd,Action,Sega Genesis
Mahjong Cop Ry?,1989,SEGA Enterprises Ltd.,"Adventure, Strategy / tactics",Sega Genesis
Mallet Legend's Whac-A-Critter,1993,Realtec Corporation,Action,Sega Genesis
Mamono Hunter Y?ko: Dai 7 no Keish?,1991,Masaya,Action,Sega Genesis
Marble Madness,1991,"Electronic Arts, Inc., Tengen Ltd.","Action, Puzzle",Sega Genesis
Mario Andretti Racing,1994,"Electronic Arts, Inc.","Action, Racing / driving",Sega Genesis
Mario Lemieux Hockey,1991,"SEGA of America, Inc.",Sports,Sega Genesis
Marko,1994,"Domark Software, Inc., Domark Software Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Marsupilami,1995,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Marvel Land,1991,"Namco Limited, Namco Hometek Inc., SEGA Enterprises Ltd.",Action,Sega Genesis
Mary Shelley's Frankenstein,1994,Sony Imagesoft,Action,Sega Genesis
Master of Monsters,1991,"Renovation Products, Inc., Toshiba-EMI Ltd.",Strategy / tactics,Sega Genesis
Master of Weapon,1991,Taito Corporation,Action,Sega Genesis
Maten no S?metsu,1993,Kodansha Ltd.,Role-Playing (RPG),Sega Genesis
Math Blaster: Episode One - In Search of Spot,1994,"Davidson & Associates, Inc.",Educational,Sega Genesis
Maui Mallard in Cold Shadow,1995,"Disney Interactive, Inc., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Mazin Saga: Mutant Fighter,1993,"SEGA Enterprises Ltd., Vic Tokai, Inc.",Action,Sega Genesis
McDonald's Treasure Land Adventure,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Medal City,1991,SEGA Enterprises Ltd.,Simulation,Sega Genesis
Mega Bomberman,1994,"SEGA Enterprises Ltd., SEGA Corporation, SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Mega Cheril Perils,2017,"1985 Alternativo, Mojon Twins, The",Action,Sega Genesis
Mega Games 10,2002,Tec Toy S.A.,Compilation,Sega Genesis
Mega Games 2,1993,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Mega Games 3,1993,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Mega Games 6 Vol. 1,1995,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Mega Games 6 Vol. 2,1995,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Mega Games 6 Vol. 3,1995,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Mega lo Mania,1992,"CSK Research Institute Corp., Virgin Games, Inc.",Strategy / tactics,Sega Genesis
Mega Man: The Wily Wars,1994,"Capcom Co., Ltd., SEGA of America, Inc.","Action, Compilation",Sega Genesis
MegaMind,1991,SEGA Enterprises Ltd.,Puzzle,Sega Genesis
Mega Mindtris,2017,1985 Alternativo,"Action, Puzzle",Sega Genesis
Megapanel,1990,Namco Limited,Puzzle,Sega Genesis
Mega Turrican,1994,"Data East USA, Inc., Sony Electronic Publishing Ltd.",Action,Sega Genesis
Menacer 6-Game Cartridge,1992,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Compilation",Sega Genesis
Menghuan Shuiguo Pan: 777 Casino,1993,City Man Co.,Simulation,Sega Genesis
Mercs,1991,SEGA Enterprises Ltd.,Action,Sega Genesis
Metal Fangs,1993,Victor Entertainment Inc.,"Action, Racing / driving",Sega Genesis
Michael Jackson's Moonwalker,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Mickey Mania,1994,"SEGA Enterprises Ltd., Sony Electronic Publishing Ltd.",Action,Sega Genesis
Mickey's Ultimate Challenge,1994,"Hi-Tech Expressions, Inc.",Puzzle,Sega Genesis
Mick & Mack as the Global Gladiators,1993,"Tec Toy Indústria de Brinquedos S.A., Virgin Games, Inc.",Action,Sega Genesis
Micro Machines,1993,"Codemasters Software Company Limited, The",Racing / driving,Sega Genesis
Micro Machines 2: Turbo Tournament,1994,"Codemasters Software Company Limited, The","Action, Racing / driving",Sega Genesis
